2026-08-05 23:25:39 [INFO] ParametricPavementModelGenerator - starting batch of 500 run(s)
2026-08-05 23:25:39 [INFO] Sampling method: random | Random seed: None | Result extraction: False
2026-08-05 23:25:39 [INFO] Run 1 of 500 - parameters sampled
2026-08-05 23:25:42 [INFO] Run 2 of 500 - parameters sampled
2026-08-05 23:25:44 [INFO] Run 3 of 500 - parameters sampled
2026-08-05 23:25:46 [INFO] Run 4 of 500 - parameters sampled
2026-08-05 23:25:48 [INFO] Run 5 of 500 - parameters sampled
2026-08-05 23:25:50 [INFO] Run 6 of 500 - parameters sampled
2026-08-05 23:25:53 [INFO] Run 7 of 500 - parameters sampled
2026-08-05 23:25:55 [INFO] Run 8 of 500 - parameters sampled
2026-08-05 23:25:58 [INFO] Run 9 of 500 - parameters sampled
2026-08-05 23:26:00 [INFO] Run 10 of 500 - parameters sampled
2026-08-05 23:26:03 [INFO] Run 11 of 500 - parameters sampled
2026-08-05 23:26:05 [INFO] Run 12 of 500 - parameters sampled
2026-08-05 23:26:08 [INFO] Run 13 of 500 - parameters sampled
2026-08-05 23:26:10 [INFO] Run 14 of 500 - parameters sampled
2026-08-05 23:26:13 [INFO] Run 15 of 500 - parameters sampled
2026-08-05 23:26:15 [INFO] Run 16 of 500 - parameters sampled
2026-08-05 23:26:18 [INFO] Run 17 of 500 - parameters sampled
2026-08-05 23:26:21 [INFO] Run 18 of 500 - parameters sampled
2026-08-05 23:26:23 [INFO] Run 19 of 500 - parameters sampled
2026-08-05 23:26:26 [INFO] Run 20 of 500 - parameters sampled
2026-08-05 23:26:29 [INFO] Run 21 of 500 - parameters sampled
2026-08-05 23:26:31 [INFO] Run 22 of 500 - parameters sampled
2026-08-05 23:26:34 [INFO] Run 23 of 500 - parameters sampled
2026-08-05 23:26:37 [INFO] Run 24 of 500 - parameters sampled
2026-08-05 23:26:42 [INFO] Run 25 of 500 - parameters sampled
2026-08-05 23:26:47 [INFO] Run 26 of 500 - parameters sampled
2026-08-05 23:26:51 [INFO] Run 27 of 500 - parameters sampled
2026-08-05 23:26:57 [INFO] Run 28 of 500 - parameters sampled
2026-08-05 23:27:03 [INFO] Run 29 of 500 - parameters sampled
2026-08-05 23:27:08 [INFO] Run 30 of 500 - parameters sampled
2026-08-05 23:27:14 [INFO] Run 31 of 500 - parameters sampled
2026-08-05 23:27:19 [INFO] Run 32 of 500 - parameters sampled
2026-08-05 23:27:22 [INFO] Run 33 of 500 - parameters sampled
2026-08-05 23:27:25 [INFO] Run 34 of 500 - parameters sampled
2026-08-05 23:27:28 [INFO] Run 35 of 500 - parameters sampled
2026-08-05 23:27:30 [INFO] Run 36 of 500 - parameters sampled
2026-08-05 23:27:33 [INFO] Run 37 of 500 - parameters sampled
2026-08-05 23:27:35 [INFO] Run 38 of 500 - parameters sampled
2026-08-05 23:27:38 [INFO] Run 39 of 500 - parameters sampled
2026-08-05 23:27:41 [INFO] Run 40 of 500 - parameters sampled
2026-08-05 23:27:44 [INFO] Run 41 of 500 - parameters sampled
2026-08-05 23:27:47 [INFO] Run 42 of 500 - parameters sampled
2026-08-05 23:27:52 [INFO] Run 43 of 500 - parameters sampled
2026-08-05 23:27:56 [INFO] Run 44 of 500 - parameters sampled
2026-08-05 23:27:59 [INFO] Run 45 of 500 - parameters sampled
2026-08-05 23:28:03 [INFO] Run 46 of 500 - parameters sampled
2026-08-05 23:28:08 [INFO] Run 47 of 500 - parameters sampled
2026-08-05 23:28:13 [INFO] Run 48 of 500 - parameters sampled
2026-08-05 23:28:17 [INFO] Run 49 of 500 - parameters sampled
2026-08-05 23:28:22 [INFO] Run 50 of 500 - parameters sampled
2026-08-05 23:28:26 [INFO] Run 51 of 500 - parameters sampled
2026-08-05 23:28:30 [INFO] Run 52 of 500 - parameters sampled
2026-08-05 23:28:33 [INFO] Run 53 of 500 - parameters sampled
2026-08-05 23:28:36 [INFO] Run 54 of 500 - parameters sampled
2026-08-05 23:28:39 [INFO] Run 55 of 500 - parameters sampled
2026-08-05 23:28:43 [INFO] Run 56 of 500 - parameters sampled
2026-08-05 23:28:47 [INFO] Run 57 of 500 - parameters sampled
2026-08-05 23:28:51 [INFO] Run 58 of 500 - parameters sampled
2026-08-05 23:28:55 [INFO] Run 59 of 500 - parameters sampled
2026-08-05 23:29:01 [INFO] Run 60 of 500 - parameters sampled
2026-08-05 23:29:07 [INFO] Run 61 of 500 - parameters sampled
2026-08-05 23:29:14 [INFO] Run 62 of 500 - parameters sampled
2026-08-05 23:29:19 [INFO] Run 63 of 500 - parameters sampled
2026-08-05 23:29:23 [INFO] Run 64 of 500 - parameters sampled
2026-08-05 23:29:27 [INFO] Run 65 of 500 - parameters sampled
2026-08-05 23:29:30 [INFO] Run 66 of 500 - parameters sampled
2026-08-05 23:29:32 [INFO] Run 67 of 500 - parameters sampled
2026-08-05 23:29:35 [INFO] Run 68 of 500 - parameters sampled
2026-08-05 23:29:38 [INFO] Run 69 of 500 - parameters sampled
2026-08-05 23:29:40 [INFO] Run 70 of 500 - parameters sampled
2026-08-05 23:29:43 [INFO] Run 71 of 500 - parameters sampled
2026-08-05 23:29:47 [INFO] Run 72 of 500 - parameters sampled
2026-08-05 23:29:51 [INFO] Run 73 of 500 - parameters sampled
2026-08-05 23:29:55 [INFO] Run 74 of 500 - parameters sampled
2026-08-05 23:29:59 [INFO] Run 75 of 500 - parameters sampled
2026-08-05 23:30:04 [INFO] Run 76 of 500 - parameters sampled
2026-08-05 23:30:10 [INFO] Run 77 of 500 - parameters sampled
2026-08-05 23:30:16 [INFO] Run 78 of 500 - parameters sampled
2026-08-05 23:30:23 [INFO] Run 79 of 500 - parameters sampled
2026-08-05 23:30:29 [INFO] Run 80 of 500 - parameters sampled
2026-08-05 23:30:33 [INFO] Run 81 of 500 - parameters sampled
2026-08-05 23:30:37 [INFO] Run 82 of 500 - parameters sampled
2026-08-05 23:30:40 [INFO] Run 83 of 500 - parameters sampled
2026-08-05 23:30:43 [INFO] Run 84 of 500 - parameters sampled
2026-08-05 23:30:46 [INFO] Run 85 of 500 - parameters sampled
2026-08-05 23:30:48 [INFO] Run 86 of 500 - parameters sampled
2026-08-05 23:30:50 [INFO] Run 87 of 500 - parameters sampled
2026-08-05 23:30:53 [INFO] Run 88 of 500 - parameters sampled
2026-08-05 23:30:55 [INFO] Run 89 of 500 - parameters sampled
2026-08-05 23:30:58 [INFO] Run 90 of 500 - parameters sampled
2026-08-05 23:31:01 [INFO] Run 91 of 500 - parameters sampled
2026-08-05 23:31:06 [INFO] Run 92 of 500 - parameters sampled
2026-08-05 23:31:10 [INFO] Run 93 of 500 - parameters sampled
2026-08-05 23:31:16 [INFO] Run 94 of 500 - parameters sampled
2026-08-05 23:31:29 [INFO] Run 95 of 500 - parameters sampled
2026-08-05 23:31:37 [INFO] Run 96 of 500 - parameters sampled
2026-08-05 23:31:41 [INFO] Run 97 of 500 - parameters sampled
2026-08-05 23:31:45 [INFO] Run 98 of 500 - parameters sampled
2026-08-05 23:31:48 [INFO] Run 99 of 500 - parameters sampled
2026-08-05 23:31:50 [INFO] Run 100 of 500 - parameters sampled
2026-08-05 23:31:52 [INFO] Run 101 of 500 - parameters sampled
2026-08-05 23:31:55 [INFO] Run 102 of 500 - parameters sampled
2026-08-05 23:31:57 [INFO] Run 103 of 500 - parameters sampled
2026-08-05 23:32:00 [INFO] Run 104 of 500 - parameters sampled
2026-08-05 23:32:03 [INFO] Run 105 of 500 - parameters sampled
2026-08-05 23:32:07 [INFO] Run 106 of 500 - parameters sampled
2026-08-05 23:32:14 [INFO] Run 107 of 500 - parameters sampled
2026-08-05 23:32:22 [INFO] Run 108 of 500 - parameters sampled
